Starting Scan. Homing
homing...
Homing complete
Scanning
  30,  20,4773
  30,  22,4778
  30,  24,4788
  30,  26,4796
  30,  28,4826
  30,  30,4835
  30,  32,4855
  30,  34,4856
  30,  36,4862
  30,  38,4870
  30,  40,4832
  30,  42,4803
  30,  44,4803
  30,  46,4803
  30,  48,4804
  30,  50,4804
  30,  52,4805
  30,  54,4804
  30,  56,4803
  30,  58,4804
  30,  60,4805
  30,  62,4803
  30,  64,4802
  30,  66,4802
  30,  68,4802
  30,  70,4804
  30,  72,4807
  30,  74,4808
  30,  76,4809
  30,  78,4814
  30,  80,4812
  30,  82,4817
  30,  84,4826
  30,  86,4839
  30,  88,4847
  30,  90,4859
  32,  20,4780
  32,  22,4774
  32,  24,4782
  32,  26,4788
  32,  28,4796
  32,  30,4801
  32,  32,4802
  32,  34,4805
  32,  36,4807
  32,  38,4808
  32,  40,4809
  32,  42,4808
  32,  44,4808
  32,  46,4808
  32,  48,4808
  32,  50,4807
  32,  52,4804
  32,  54,4804
  32,  56,4805
  32,  58,4805
  32,  60,4801
  32,  62,4800
  32,  64,4799
  32,  66,4800
  32,  68,4801
  32,  70,4801
  32,  72,4801
  32,  74,4804
  32,  76,4806
  32,  78,4808
  32,  80,4809
  32,  82,4811
  32,  84,4819
  32,  86,4830
  32,  88,4839
  32,  90,4852
  34,  20,4787
  34,  22,4780
  34,  24,4787
  34,  26,4798
  34,  28,4807
  34,  30,4811
  34,  32,4810
  34,  34,4809
  34,  36,4807
  34,  38,4806
  34,  40,4806
  34,  42,4804
  34,  44,4803
  34,  46,4803
  34,  48,4803
  34,  50,4804
  34,  52,4804
  34,  54,4803
  34,  56,4803
  34,  58,4802
  34,  60,4802
  34,  62,4803
  34,  64,4802
  34,  66,4800
  34,  68,4800
  34,  70,4800
  34,  72,4801
  34,  74,4804
  34,  76,4806
  34,  78,4808
  34,  80,4809
  34,  82,4811
  34,  84,4813
  34,  86,4825
  34,  88,4837
  34,  90,4850
  36,  20,4785
  36,  22,4780
  36,  24,4786
  36,  26,4794
  36,  28,4805
  36,  30,4809
  36,  32,4810
  36,  34,4811
  36,  36,4811
